# Group: MemGrp	
# Op	Range	Mn	FlagsR	FlagsW	RegsR	RegsW	Descriptoin
CTRL:	NONE
0x00	0x00	HLT	None	None	None	P,R	Halt / Wait for Interrupt
0x01	0x00	NOP	None	None	None	None	No Operation
0x02	0x00	SF	None	F	None	None	Set Fault (Overflow) Flag
0x03	0x00	RF	None	F	None	None	Reset Fault (Overflow) Flag
0x04	0x00	EI	None	I	None	None	Enable Interrupt System
0x05	0x00	DI	None	I	None	None	Disable Interrupt System
0x06	0x00	SL	None	L	None	None	Set Link (Carry) Flag
0x07	0x00	RL	None	L	None	None	Reset Link (Carry) Flag
0x08	0x00	CL	L	L	None	None	Complement Link (Carry) Flag
0x09	0x00	RSR	None	None	X,S	X,PC,S	Return from Subroutine
0x0a	0x00	RI	F,L,M,V	F,L,M,V	PC,LV	P,C,LV	Return from Interrupt
0x0b	0x00	RIM	F,L,M,V	F,L,M,V	LV	C,LV	Return From Interrupt Modified
0x0c	0x00	ELO	L	TTY	None	None	Enable Link to TTY (?)
0x0d	0x00	PCX	None	None	PC	X	Move PC to X
0x0e	0x00	DLY	None	None	None	None	Delay 4.55ms
0x0f	0x00	RIS	F,L,M,V	F,L,M,V	S	X,PC,LV,MAP	Return from IPL using Stack

COND:	DISP
0x10	0x00	BL	L	None	PC	PC	Branch if Link (Carry) Flag Set
0x11	0x00	BNL	L	None	PC	PC	Branch if Link (Carry) Flag Not Set
0x12	0x00	BF	F	None	PC	PC	Branch if Fault (Overflow) Flag Set
0x13	0x00	BNF	F	None	PC	PC	Branch if Fault (Overflow) Flag Not Set
0x14	0x00	BZ	V	None	PC	PC	Branch if Equal to Zero (V Flag Set)
0x15	0x00	BNZ	V	None	PC	PC	Branch if Not Equal to Zero (V Flag Not Set)
0x16	0x00	BM	M	None	PC	PC	Branch if Minus (Sign) Flag Set
0x17	0x00	BP	M	None	PC	PC	Branch on Plus (Sign Flag Not Set)
0x18	0x00	BGZ	M,V	None	PC	PC	Branch if Greater than Zero (M,V Flags Not Set)
0x19	0x00	BLE	M,V	None	PC	PC	Branch if Less Than or Equal to Zero (M or V Flag Set)
0x1a	0x00	BS1	SSW1	None	PC	PC	Branch if Sense Switch 1 Set
0x1b	0x00	BS2	SSW2	None	PC	PC	Branch if Sense Switch 2 Set
0x1c	0x00	BS3	SSW3	None	PC	PC	Branch if Sense Switch 3 Set
0x1d	0x00	BS4	SSW4	None	PC	PC	Branch if Sense Switch 4 Set
0x1e	0x00	BTM	TTY	None	PC	PC	Branch on Teletype MARK (?)
0x1f	0x00	BEP	MEM	None	PC	PC	Branch on Even Parity (?)

ALU1B:	ALU1
0x20	0x00	INR.B	None	F,M,V	sr	sr	Increment Register (Byte)
0x21	0x00	DCR.B	None	F,M,V	sr	sr	Decrement Register (Byte)
0x22	0x00	CLR.B	None	F,L,M,V	sr	sr	Clear Register (Byte)
0x23	0x00	IVR.B	None	F,L,M,V	sr	sr	Invert Register (Byte)
0x24	0x00	SRR.B	L	F,L,M,V	sr	sr	Arithmetic Shift Register Right (Byte)
0x25	0x00	SLR.B	None	F,L,M,V	sr	sr	Arithmetic Shift Register Left (Byte)
0x26	0x00	RRR.B	L	F,L,M,V	sr	sr	Rotate Register Right (Byte)
0x27	0x00	RLR.B	L	F,L,M,V	sr	sr	Rotate Register Left (Byte)

ALUIA1B:	None
0x28	0x00	INA.B	None	F,M,V	A	A	Increment Accumulator (Byte)
0x29	0x00	DCA.B	None	F,M,V	A	A	Decrement Accumulator (Byte)
0x2a	0x00	CLA.B	None	F,L,M,V	A	A	Clear Accumulator (Byte)
0x2b	0x00	IVA.B	None	F,L,M,V	A	A	Invert Accumulator (Byte)
0x2c	0x00	SRA.B	L	F,L,M,V	A	A	Arithmetic Shift Accumulator Right (Byte)
0x2d	0x00	SLA.B	None	F,L,M,V	A	A	Arithmetic Shift Accumulator Left (Byte)

EXT2:	EXT2
0x2e	0x00	MAP?	L	F,L,M,V	sr	sr	Extended Memory Map Functions?
0x2f	0x00	MATH?	L	F,L,M,V	sr	sr	Extended Math Functions?

ALU1:	ALU1
0x30	0x00	INR	None	F,M,V	sr	sr	Increment Register
0x31	0x00	DCR	None	F,M,V	sr	sr	Decrement Register
0x32	0x00	CLR	None	F,L,M,V	sr	sr	Clear Register
0x33	0x00	IVR	None	F,L,M,V	sr	sr	Invert Register
0x34	0x00	SRR	L	F,L,M,V	sr	sr	Arithmetic Shift Register Right
0x35	0x00	SLR	None	F,L,M,V	sr	sr	Arithmetic Shift Register Left
0x36	0x00	RRR	L	F,L,M,V	sr	sr	Rotate Register Right
0x37	0x00	RLR	L	F,L,M,V	sr	sr	Rotate Register Left

ALUIA1:	NONE
0x38	0x00	INA	None	F,M,V	A	A	Increment Accumulator
0x39	0x00	DCA	None	F,M,V	A	A	Decrement Accumulator
0x3a	0x00	CLA	None	F,L,M,V	A	A	Clear Accumulator
0x3b	0x00	IVA	None	F,L,M,V	A	A	Invert Accumulator
0x3c	0x00	SRA	L	F,L,M,V	A	A	Arithmetic Shift Accumulator Right
0x3d	0x00	SLA	None	F,L,M,V	A	A	Arithmetic Shift Accumulator Left

ALUIX1:	NONE
0x3e	0x00	INX	None	F,M,V	X	X	Increment Accumulator
0x3f	0x00	DCX	None	F,M,V	X	X	Decrement Accumulator

ALU2B:	ALU2
0x40	0x00	ADD.B	None	F,L,M,V	sr,dr	dr	Add (dr+sr -> dr) (Byte)
0x41	0x00	SUB.B	None	F,L,M,V	sr,dr	dr	Subtract (sr-dr -> dr) (Byte)
0x42	0x00	AND.B	None	M,V	sr,dr	dr	And (dr&sr -> dr) (Byte)
0x43	0x00	ORI.B	None	M,V	sr,dr	dr	Or (dr|sr -> dr) (Byte)
0x44	0x00	ORE.B	None	M,V	sr,dr	dr	Or (dr^sr -> dr) (Byte)
0x45	0x00	XFR.B	None	M,V	sr	dr	Transfer (sr -> dr) (Byte)

ALUIA2B:	NONE
0x48	0x00	AAB.B	None	F,L,M,V	A,B	B	Add (A+B -> B) (Byte)
0x49	0x00	SAB.B	None	F,L,M,V	A,B	B	Subtract (A-B -> B) (Byte)
